Overall Accuracy: 90.23%

Predicted  #    $   ''   (   )     ,     .    :    CC    CD    DT  EX    IN    JJ  JJR  JJS   MD    NN   NNP  NNPS   NNS  POS   PRP  PRP$    RB  RBR   RP  SYM    TO   VB   VBD  VBG  VBN  VBP   VBZ  WDT   WP  WP$  WRB   ``
VBG|NN     0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     1     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0    0
VBN        0    0    0   0   0     0     0    0     0     0     0   0     0     6    0    0    0   197     5     0     0    0     0     0     0    0    0    0     0   35   215    0  640    0     0    0    0    0    0    0
VBN|JJ     0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0    0    0     0    0     0    0    2    0     0    0    0    0    0    0
VBP        0    0    0   0   0     0     0    0     0     0     0   0     1     4    0    0    0    84     3     0     1    0     0     0     1    0    0    0     0  101     0    0    2  605     0    0    0    0    0    0
VBZ        0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     1     1     0   138   77     0     0     0    0    0    0     0    0     0    0    0    0  1019    0    0    0    0    0
WDT        0    0    0   0   0     0     0    0     0     0     0   0   138     0    0    0    0     2     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0  139    1    0    0    0
WP         0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0  111    0    0    0
WP$        0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0   21    0    0
WRB        0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     1     0     0     0    0     0     0     1    0    0    0     0    0     0    0    0    0     0    0    0    0  131    0
``         0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0    0     0     0     0     0    0     0     0     0    0    0    0     0    0     0    0    0    0     0    0    0    0    0  535
